Campus,Nome do curso,Cod.,Área,Fator de Retenção,Turno,Matriculados 1º Sem (2024-1),Matriculados 2º Sem (2024-2),Ingressantes (NI) 1º Sem (2024-1),Ingressantes (NI) 2º Sem (2024-2),Ingressantes (NI) Total,Diplomados (NDI) 1º Sem (2024-1),Diplomados (NDI) 2º Sem (2024-2),Diplomados (NDI) Total,Ingressantes DPC 1º Sem,Ingressantes DPC 2º Sem,Ingressantes DPC Total,Duração Padrão do curso (DPC),1+ Fator de Retenção,Alunos em Tempo Integral (AGTI),Peso do Grupo,Alunos Equivalentes (AGE),TSG
SEROPÉDICA,Engenharia de Materiais,36,ENG,0.0820,I,198,195,19,21,40,6,12,18,33,26,59,5,1.08,124.70,2.00,249.40,0.31
SEROPÉDICA,Engenharia Florestal,3,ENG,0.0820,,332,337,37,26,63,19,19,38,41,45,86,5,1.08,236.83,2.00,473.66,0.44
SEROPÉDICA,Engenharia Química,2,ENG,0.0820,I,393,403,37,36,73,18,9,27,49,50,99,5,1.08,203.57,2.00,407.14,0.27
SEROPÉDICA,Farmácia,37,CS3,0.0660,I,255,246,20,23,43,11,15,26,34,22,56,5,1.07,159.83,2.00,319.66,0.46
SEROPÉDICA,Filosofia,30,CH,0.1000,N,97,128,0,21,21,13,8,21,,28,28,4,1.10,92.40,1.00,92.40,0.75
SEROPÉDICA,Física,18,CET,0.1325,I,113,121,1,14,15,9,6,15,16,30,46,4,1.13,67.95,2.00,135.90,0.33
SEROPÉDICA,Geografia,32,CET,0.1325,V,136,152,26,0,26,9,16,25,32,,32,4,1.13,114.25,2.00,228.50,0.78
SEROPÉDICA,Geologia,4,CET,0.1325,I,170,155,26,,26,4,8,12,30,,30,4,1.13,68.36,2.00,136.72,0.40
SEROPÉDICA,História,26,CH,0.1000,N,199,216,46,44,90,17,22,39,,59,59,4,1.10,222.60,1.00,222.60,0.00
SEROPÉDICA,História,31,CH,0.1000,V,245,215,0,0,0,11,16,27,47,,47,4,1.10,91.80,1.00,91.80,0.57
SEROPÉDICA,Hotelaria,48,CSA,0.1200,N,173,179,21,24,45,14,10,24,23,30,53,4,1.12,128.52,1.00,128.52,0.45
SEROPÉDICA,Letras-Português,28,LL,0.1150,N,170,170,20,19,39,18,15,33,23,20,43,4,1.12,153.18,1.00,153.18,0.77
SEROPÉDICA,Letras-Português/Inglês,29,LL,0.1150,N,166,171,19,19,38,13,16,29,23,20,43,4,1.12,138.34,1.00,138.34,0.67
SEROPÉDICA,Matemática,19,CET,0.1325,I,237,252,33,10,43,19,12,31,40,35,75,4,1.13,152.43,1.50,228.65,0.41
SEROPÉDICA,Medicina Veterinária,6,CS2,0.0650,I,734,739,65,62,127,48,75,123,74,64,138,5,1.07,659.98,4.50,2969.89,0.89
SEROPÉDICA,Pedagogia,27,CH,0.1000,N,168,145,35,0,35,18,11,29,,28,28,4,1.10,133.60,1.00,133.60,1.04
SEROPÉDICA,Psicologia,38,CH1,0.1000,,221,200,39,,39,26,17,43,45,,45,5,1.10,231.50,1.00,231.50,0.96
SEROPÉDICA,Química,20,CET,0.1325,,145,151,26,,26,3,8,11,,,0,4,1.13,64.83,2.00,129.66,0
SEROPÉDICA,Química,64,CET,0.1325,N,133,101,30,,30,2,3,5,,50,50,4,1.13,47.65,2.00,95.30,0.10
SEROPÉDICA,Relações Internacionais,49,CSA,0.1200,N,234,274,44,,44,37,47,84,,48,48,4,1.12,336.32,1.00,336.32,1.75
SEROPÉDICA,Serviço Social,40,CSA,0.1200,I,130,152,35,,35,11,13,24,39,,39,4,1.12,118.52,1.00,118.52,0.62
SEROPÉDICA,Sistemas de Informação,39,CE2,0.1325,V,137,125,25,0,25,10,6,16,,25,25,4,1.13,81.48,1.50,122.22,0.64
SEROPÉDICA,Zootecnia,7,CS2,0.0650,I,406,407,46,39,85,16,17,33,58,52,110,5,1.07,240.73,4.50,1083.26,0.30
NOVA IGUAÇU,Administração,68,CSA,0.1200,N,374,351,40,25,65,30,37,67,45,41,86,4,1.12,298.16,1.00,298.16,0.78
NOVA IGUAÇU,Ciência da Computação,78,CE2,0.1325,V,231,270,49,,49,17,38,55,45,,45,4,1.13,243.15,1.50,364.73,1.22
NOVA IGUAÇU,Ciências Econômicas,69,CSA,0.1200,N,332,342,32,33,45,14,18,32,45,36,81,4,1.12,176.36,1.00,176.36,0.40
NOVA IGUAÇU,Direito,77,CSB,0.1200,M,219,237,0,43,43,25,18,43,,44,44,5,1.12,240.80,1.00,240.80,0.98
NOVA IGUAÇU,Geografia,79,CH,0.1000,M,194,173,42,0,42,19,18,37,50,,50,4,1.10,167.80,1.00,167.80,0.74
NOVA IGUAÇU,História,70,CH,0.1000,N,303,326,33,26,59,35,28,63,40,28,68,4,1.10,273.20,1.00,273.20,0.93
NOVA IGUAÇU,Letras-Port/Esp,76,LL,0.1150,M,152,157,21,19,40,15,9,24,25,17,42,4,1.12,123.04,1.00,123.04,0.57
NOVA IGUAÇU,Letras-Português,75,LL,0.1150,M,180,184,23,16,39,13,10,23,23,19,42,4,1.12,118.58,1.00,118.58,0.55
NOVA IGUAÇU,Matemática,71,CET,0.1325,N,227,224,27,19,46,17,14,31,39,30,69,4,1.13,155.43,1.50,233.15,0.45
NOVA IGUAÇU,Pedagogia,72,CH,0.1000,N,271,291,31,24,55,64,33,97,39,31,70,4,1.10,384.80,1.00,384.80,1.39
NOVA IGUAÇU,Turismo,73,CSA,0.1200,N,256,243,28,27,55,37,12,49,40,35,75,4,1.12,225.52,1.00,225.52,0.65
TRÊS RIOS,Administração,63,CSA,0.1200,N,228,254,42,,42,11,15,26,,45,45,4,1.12,132.48,1.00,132.48,0.58
TRÊS RIOS,Ciências Econômicas,60,CSA,0.1200,N,135,120,28,,28,9,3,12,,26,26,4,1.12,69.76,1.00,69.76,0.46
TRÊS RIOS,Direito,66,CSB,0.1200,N,192,204,0,33,33,24,12,36,,42,42,5,1.12,197.85,1.00,197.85,0.86
TRÊS RIOS,Gestão Ambiental,59,CSA,0.1200,I,100,80,,11,11,10,9,19,,36,36,4,1.12,77.12,1.00,77.12,0.53
Total,Total,,,,,13329,12927,1062,1512,2574,985,1037,2022,1472,1626,3098,,,10134.57,,16002.01,0.65
