Campus,Nome do Curso,Cod,Area,Turno,Matriculados 1 Sem (2023-1),Matriculados 2 Sem (2023-1),Matriculados 1 Sem (2023-2),Ingressantes (NI) 1 Sem (2023-1),Ingressantes (NI) 1 Sem (2023-2),Ingressantes (NI) Total,Diplomados (NDI) 1 Sem (2023-1),Diplomados (NDI) 1 Sem (2023-2),Diplomados (NDI) Total,Ingressantes DPC 1 Sem,Ingressantes DPC Total,Duracao do Padrao (DPC),Fator de Retencao (AGTI),Alunos em Tempo Integral,Peso do Grupo,Equivalentes (AGE),TSG
CÂMPUS SEROPÉDICA,Zootecnia,7,CS2 0,0650,I,387,398,36,50,86,19,10,29,55,63,118,5,1,07,225,68,4,50,1015,54,0,25
CÂMPUS SEROPÉDICA,Educação do Campo,90,CSA 0,1200,I,152,162,28,32,60,7,4,11,40,37,77,4,1,12,98,28,1,00,98,28,0,14
CÂMPUS NOVA IGUAÇU,Administração,68,CSA 0,1200,N,365,371,38,39,39,77,39,38,77,48,45,93,4,1,12,344,96,1,00,344,96,0,83
CÂMPUS NOVA IGUAÇU,Ciência da Computação,78,CE2 0,1125,V,271,238,48,0,48,14,21,35,0,48,48,4,1,13,171,55,1,50,257,33,0,73
CÂMPUS NOVA IGUAÇU,Ciências Econômicas,69,CSA 0,1200,N,338,334,27,35,62,12,12,24,52,38,90,4,1,12,145,52,1,00,145,52,0,27
CÂMPUS NOVA IGUAÇU,Direito,77,CSB 0,1200,M,240,219,27,0,27,11,22,33,0,62,62,5,1,12,177,30,1,00,177,30,0,53
CÂMPUS NOVA IGUAÇU,Geografia,79,CH 0,1000,M,165,189,0,37,37,15,7,22,54,0,54,4,1,10,111,80,1,00,111,80,0,41
CÂMPUS NOVA IGUAÇU,História,70,CH 0,1000,N,306,312,32,27,59,19,19,38,42,35,77,4,1,10,188,20,1,00,188,20,0,49
CÂMPUS NOVA IGUAÇU,Letras - Port. / Esp.,76,LL 0,1150,M,160,159,19,23,42,12,18,30,27,22,49,4,1,12,145,80,1,00,145,80,0,61
CÂMPUS NOVA IGUAÇU,Letras - Português,75,LL 0,1150,M,166,171,20,21,41,7,17,24,27,25,52,4,1,12,124,04,1,00,124,04,0,46
CÂMPUS NOVA IGUAÇU,Matemática,71,CET 0,1125,N,212,207,23,24,47,18,9,27,43,38,81,4,1,13,142,31,1,50,213,47,0,33
CÂMPUS NOVA IGUAÇU,Pedagogia,72,CH 0,1000,N,299,296,25,36,61,27,38,65,44,36,80,4,1,10,282,00,1,00,282,00,0,81
CÂMPUS NOVA IGUAÇU,Turismo,73,CSA 0,1200,N,241,262,31,30,61,14,5,19,43,38,81,4,1,12,127,12,1,00,127,12,0,23
CÂMPUS TRÊS RIOS,Administração,63,CSA 0,1200,N,252,229,47,1,48,9,9,18,0,59,59,4,1,12,110,64,1,00,110,64,0,31
CÂMPUS TRÊS RIOS,Ciências Econômicas,60,CSA 0,1200,N,139,126,33,0,33,7,6,13,0,42,42,4,1,12,78,24,1,00,78,24,0,31
CÂMPUS TRÊS RIOS,Direito,66,CSB 0,1200,N,209,177,30,0,30,18,23,41,0,48,48,5,1,12,215,85,1,00,215,85,0,85
CÂMPUS TRÊS RIOS,Gestão Ambiental,59,CSA 0,1200,I,109,93,20,0,20,9,11,20,0,42,42,4,1,12,89,60,1,00,89,60,0,48
Total,Total,,,,,13163,12933,1465,1109,2574,783,828,1611,1608,2050,3658,,,8666,29,,14070,91,0,44
