"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"17/03/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Contrato";"00003/2023";"Objeto: Contratação de serviço de fornecimento de energia elétrica para a Estação Experimental Regional do Espírito Santo (ERES)   Subunidade da UFRRJ - Campus Campos dos Goytacazes.";
"27/04/2023";"25/04/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00033/2023";"Objeto: Pregão Eletrônico -  Aquisição de gêneros de alimentação (hortifruti).";
"10/05/2023";"03/04/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00058/2023";"Objeto: Pregão Eletrônico -  Aquisição de Solução de Energia Ininterrupta   NOBREAKS.";
"22/05/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00007/2023";"Objeto: Pagamento de inscrição de (01) servidor em curso de capacitação.";
"03/07/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Contrato";"00010/2023";"Objeto: Contratação de serviço de abastecimento de água potável, recepção e tratamento do esgoto produzido nas dependências da UFRRJ - Campus Campos dos Goytacazes, conforme condições, quantidades e exigências estabelecidas neste instrumento.";
"18/07/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00012/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora em curso de capacitação.";
"07/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00013/2023";"Objeto: Pagamento de inscrição de 01 servidora em congresso.";
"21/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00017/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"10/11/2023";"07/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00068/2023";"Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios (estocáveis).";
"19/05/2023";"12/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00009/2023";"Objeto: Pregão Eletrônico -  Aquisição de pães e bolos.";
"05/07/2023";"21/06/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00064/2023";"Objeto: Pregão Eletrônico -  Contratação de prestação de serviço de Leiloeiro Oficial para preparar, organizar e conduzir leilões públicos de  bens inservíveis pertencentes ao patrimônio da Universidade Federal Rural do Rio de Janeiro.";
"21/09/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00023/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"01/06/2023";"18/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00016/2023";"Objeto: Pregão Eletrônico -  Aquisição de alimentos para animais.";
"01/12/2023";"08/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00042/2023";"Objeto: Pregão Eletrônico -  Aquisição material farmacológico.";
"14/03/2023";"27/02/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Adiamento Publicado";"Pregão";"Contrato";"00052/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados com dedicação exclusiva de mão de  obra de apoio administrativo para atender às demandas do Curso de Licenciatura em Educação Especial da Universidade Federal Rural do Rio de Janeiro (UFRRJ).";
"29/12/2023";"03/10/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00077/2023";"Objeto: Pregão Eletrônico -  Contratação de mão de obra para apoio administrativo e operacional para o Campus Nova Iguaçu.";
"19/12/2023";"02/10/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00019/2023";"Objeto: Pregão Eletrônico -  Aquisição de máquinas e equipamentos agrícolas.";
"14/12/2023";"12/12/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00067/2023";"Objeto: Pregão Eletrônico -  Aquisição de sementes, plantas, mudas e insumos agrícolas";
"14/04/2023";"13/04/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00040/2023";"Objeto: Pregão Eletrônico -  Aquisição material químico piscina.";
"21/06/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Revogação";"Inexigibilidade de Licitação";"Sem informação";"00009/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora em curso de capacitação.";
"05/04/2023";"28/03/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00057/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada no fornecimento de placas de aço escovado para inaugurações e homenagens.";
"06/11/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00028/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"17/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00016/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"25/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00020/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"24/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00019/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora em curso de capacitação.";
"01/11/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00027/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"13/09/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00022/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"20/03/2023";"14/03/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00051/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços eventuais de Manutenção Predial preventiva, corretiva e emergencial, para atender ao Campus Campos dos Goytacazes, da UFRRJ.";
"18/10/2023";"09/10/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00044/2023";"Objeto: Pregão Eletrônico -  Aquisição material educativo e esportivo.";
"18/05/2023";"24/04/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00032/2023";"Objeto: Pregão Eletrônico -  Aquisição de gêneros de alimentação (carnes, embutidos, queijos e frios).";
"29/03/2023";"24/03/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00054/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada no fornecimento e instalação de plataforma de elevação motorizada para  acesso de pessoas com mobilidade reduzida às salas de projetos e de extensão do Campus de Três Rios, conforme Termo de referência do edital.";
"17/02/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00002/2023";"Objeto: Trata-se da concessão de uso de espaço físico, para exploração de serviços de postagem e telégrafos, com área de 46,75m², localizado na sala nº 06 do Pavilhão Central, no Campus Seropédica da UFRRJ.";
"23/06/2023";"08/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00055/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de manutenção predial corretiva e preventiva.";
"27/11/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00029/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora em curso de capacitação.";
"19/04/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Revogação";"Inexigibilidade de Licitação";"Sem informação";"00005/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"09/10/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00026/2023";"Objeto: Pagamento de inscrição de 01 (um) servidor em curso de capacitação.";
"24/01/2023";"24/01/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00089/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico, a título oneroso, destinado à prestação de serviço de lanchonete, nas dependências do Pavilhão Central (P1), Campus da UFRRJ em Seropédica.";
"10/02/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00001/2023";"Objeto: Contratação de empresa especializada para elaboração de projetos de Combate a Incêndio e Pânico (PCIP), para o Campus Três Rios.";
"02/10/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00024/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora  em curso de capacitação.";
"06/09/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00021/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora em curso de capacitação.";
"26/05/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00004/2023";"Objeto: Contratação de serviços de empresa especializada na prestação, de forma contínua, dos serviços de vigilância patrimonial armada e desarmada, diurna e noturna, nas dependências da UFRRJ.";
"09/01/2023";"11/10/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00040/2022";"Objeto: Pregão Eletrônico -  Aquisição de material laboratorial.";
